State,County,Violent,Murder,"Forcible rape",Robbery,"Aggravated assault","Property crime",Burglary,"Larceny-theft","Motor vehicle theft",Arson
ARKANSAS,Monroe,1,0,1,0,0,54,5,49,0,0
ARKANSAS,Nevada,2,0,0,0,2,50,19,27,4,1
ARKANSAS,Ouachita,15,1,0,1,13,90,47,43,0,2
ARKANSAS,Pike,6,0,1,1,4,31,12,12,7,0
ARKANSAS,Polk,42,0,4,1,37,223,105,114,4,5
ARKANSAS,Pope,51,1,7,0,43,457,149,270,38,0
ARKANSAS,Prairie,0,0,0,0,0,118,9,109,0,0
ARKANSAS,Randolph,1,0,0,0,1,47,37,10,0,2
ARKANSAS,Searcy,12,0,1,0,11,34,18,13,3,1
ARKANSAS,Sevier,11,0,1,0,10,210,66,131,13,0
ARKANSAS,St. Francis,18,0,1,7,10,330,96,232,2,3
ARKANSAS,Stone,16,0,1,0,15,94,34,53,7,2
ARKANSAS,Union,49,0,2,7,40,374,91,255,28,0
ARKANSAS,Van Buren,38,1,3,0,34,225,30,174,21,4
ARKANSAS,White,46,1,7,3,35,1087,451,511,125,2
ARKANSAS,Yell,27,1,1,0,25,221,74,126,21,3
CALIFORNIA,Alameda,651,5,23,206,417,2662,730,1182,750,8
CALIFORNIA,Butte,126,8,8,16,94,1165,481,676,8,1
CALIFORNIA,Contra Costa,472,10,25,120,317,2307,993,1298,16,13
CALIFORNIA,El Dorado,241,3,14,22,202,2024,766,1240,18,9
CALIFORNIA,Fresno,825,15,20,136,654,5248,1934,2366,948,191
CALIFORNIA,Imperial,139,0,6,12,121,791,352,419,20,10
CALIFORNIA,Kern,2179,22,85,490,1582,11713,4015,5592,2106,285
CALIFORNIA,Kings,183,1,13,19,150,515,207,263,45,8
CALIFORNIA,Los Angeles,5458,75,161,1490,3732,16981,4816,8223,3942,207
CALIFORNIA,Madera,353,0,14,19,320,1660,794,840,26,8
CALIFORNIA,Marin,107,0,3,25,79,733,218,511,4,4
CALIFORNIA,Merced,544,8,15,45,476,2036,741,1267,28,5
CALIFORNIA,Monterey,199,7,17,63,112,1336,523,792,21,11
CALIFORNIA,Napa,53,0,4,3,46,342,115,226,1,0
CALIFORNIA,Orange,258,0,9,33,216,1405,338,954,113,3
CALIFORNIA,Placer,278,0,24,27,227,1670,568,1069,33,11
CALIFORNIA,Riverside,831,18,22,183,608,8197,2633,4354,1210,19
CALIFORNIA,Sacramento,3047,32,186,999,1830,12936,4645,8190,101,55
CALIFORNIA,San Benito,55,0,3,7,45,273,76,182,15,0
CALIFORNIA,San Bernardino,988,13,61,164,750,6460,2317,2919,1224,62
CALIFORNIA,San Diego,1630,17,82,239,1292,6438,1939,3457,1042,22
CALIFORNIA,San Joaquin,810,12,27,155,616,4550,1771,2625,154,20
CALIFORNIA,San Luis Obispo,219,4,11,25,179,1309,494,806,9,8
CALIFORNIA,San Mateo,300,0,19,45,236,2526,471,1767,288,6
CALIFORNIA,Santa Barbara,273,3,43,28,199,1826,568,1243,15,14
CALIFORNIA,Santa Clara,232,2,25,20,185,1709,350,1164,195,2
CALIFORNIA,Santa Cruz,285,5,20,32,228,1910,721,1182,7,7
CALIFORNIA,Shasta,506,4,25,23,454,996,522,430,44,29
CALIFORNIA,Sonoma,605,0,35,38,532,1406,539,856,11,16
CALIFORNIA,Stanislaus,418,13,14,115,276,2337,1021,1252,64,12
CALIFORNIA,Sutter,71,1,4,2,64,786,257,487,42,1
CALIFORNIA,Tulare4  ,638,17,40,90,491,,1177,1848,,0
CALIFORNIA,Ventura,157,5,14,20,118,1211,331,794,86,19
CALIFORNIA,Yolo,73,0,9,10,54,451,122,317,12,4
CALIFORNIA,Yuba,193,6,17,20,150,1307,429,873,5,14
CALIFORNIA,Alpine,8,0,3,0,5,39,18,20,1,0
CALIFORNIA,Amador,75,0,3,10,62,468,155,310,3,1
CALIFORNIA,Calaveras,87,0,17,6,64,973,348,618,7,0
CALIFORNIA,Colusa,26,0,4,2,20,283,78,200,5,1
CALIFORNIA,Del Norte,104,1,22,15,66,375,234,138,3,5
CALIFORNIA,Glenn,25,0,1,1,23,239,99,137,3,0
CALIFORNIA,Humboldt,115,2,10,31,72,1130,509,604,17,10
CALIFORNIA,Inyo,67,0,4,4,59,177,72,104,1,0
CALIFORNIA,Lake,190,1,12,31,146,812,430,374,8,7
CALIFORNIA,Lassen,36,0,3,2,31,189,62,125,2,5
CALIFORNIA,Mariposa,71,3,2,2,64,313,93,218,2,0
CALIFORNIA,Mendocino,183,5,18,25,135,669,276,382,11,30
CALIFORNIA,Modoc,33,0,8,0,25,85,36,49,0,2
CALIFORNIA,Mono,6,0,1,0,5,62,32,30,0,0
CALIFORNIA,Nevada,144,1,8,8,127,703,355,338,10,4
CALIFORNIA,Plumas,107,0,15,1,91,404,141,256,7,0
CALIFORNIA,Sierra,17,0,0,0,17,52,16,36,0,1
CALIFORNIA,Siskiyou,29,3,3,1,22,184,85,98,1,0
CALIFORNIA,Tehama,189,3,5,7,174,303,133,169,1,0
CALIFORNIA,Trinity,21,4,3,1,13,157,81,76,0,0
CALIFORNIA,Tuolumne,85,0,12,11,62,776,386,386,4,20
COLORADO,Adams,419,7,70,55,287,2346,521,1404,421,24
COLORADO,Arapahoe,218,1,38,31,148,1293,358,818,117,16
COLORADO,Boulder,54,0,13,5,36,521,147,339,35,8
COLORADO,Clear Creek,14,0,1,0,13,72,17,49,6,7
COLORADO,Douglas5   ,139,0,28,5,106,1343,300,1007,36,17
COLORADO,Elbert,4,0,0,0,4,66,29,34,3,1
COLORADO,El Paso3   ,424,2,68,30,324,,,1416,205,38
COLORADO,Gilpin,14,0,3,0,11,33,19,11,3,0
COLORADO,Jefferson,148,1,22,11,114,2666,471,2083,112,17
COLORADO,Larimer,150,1,14,9,126,1005,208,740,57,6
COLORADO,Mesa,194,3,54,13,124,1303,224,960,119,15
COLORADO,Park,20,0,3,0,17,59,27,30,2,4
COLORADO,Teller,21,0,3,0,18,78,28,47,3,2
COLORADO,Weld,151,4,9,5,133,804,248,492,64,11
COLORADO,Alamosa,7,0,0,0,7,35,14,19,2,1
COLORADO,Archuleta,14,0,2,0,12,104,43,54,7,3
COLORADO,Baca,3,0,0,0,3,4,2,2,0,0
COLORADO,Bent,14,0,0,1,13,89,37,50,2,0
COLORADO,Chaffee,3,0,2,0,1,78,24,51,3,1
COLORADO,Cheyenne,2,0,0,0,2,20,3,15,2,1
COLORADO,Conejos,3,0,0,0,3,50,23,20,7,3
COLORADO,Costilla,6,0,0,0,6,13,8,1,4,0
COLORADO,Crowley,11,0,0,0,11,2,1,1,0,0
COLORADO,Custer,5,0,1,0,4,51,13,35,3,1
COLORADO,Delta,9,0,0,0,9,153,21,117,15,0
COLORADO,Dolores,1,0,0,0,1,26,15,11,0,0
COLORADO,Eagle,26,1,6,1,18,344,73,267,4,10
COLORADO,Fremont,34,0,6,1,27,249,111,128,10,0
COLORADO,Garfield,14,1,4,0,9,165,39,116,10,1
COLORADO,Gunnison,11,0,0,0,11,40,9,28,3,0
COLORADO,Hinsdale,0,0,0,0,0,10,5,5,0,0
COLORADO,Huerfano,1,0,0,0,1,16,3,4,9,0
COLORADO,Kiowa,2,0,0,0,2,1,0,0,1,0
COLORADO,Kit Carson,2,0,1,0,1,25,4,18,3,0
COLORADO,Lake,5,0,0,0,5,29,8,20,1,0
COLORADO,Lincoln,1,0,0,0,1,28,9,18,1,0
COLORADO,Logan,15,1,1,1,12,98,40,54,4,0
COLORADO,Mineral,0,0,0,0,0,1,0,0,1,0
COLORADO,Moffat,3,0,0,0,3,23,10,13,0,0
COLORADO,Montezuma,32,1,1,2,28,112,41,60,11,1
COLORADO,Montrose,30,1,4,0,25,232,91,123,18,2
COLORADO,Morgan,8,0,0,0,8,101,23,74,4,1
COLORADO,Otero,12,0,3,0,9,76,33,42,1,0
COLORADO,Ouray,0,0,0,0,0,3,2,1,0,0
COLORADO,Pitkin,11,0,1,0,10,34,0,34,0,0
COLORADO,Prowers,10,0,0,0,10,26,6,18,2,0
COLORADO,Rio Blanco,2,0,0,0,2,43,3,40,0,0
COLORADO,Rio Grande,3,0,0,0,3,3,2,1,0,0
COLORADO,Routt,6,0,0,0,6,32,5,20,7,0
COLORADO,Saguache,9,0,0,0,9,44,17,23,4,0
COLORADO,San Juan,1,0,0,0,1,16,4,11,1,0
COLORADO,San Miguel,0,0,0,0,0,0,0,0,0,0
COLORADO,Sedgwick,5,0,0,0,5,18,6,11,1,0
COLORADO,Summit,17,1,10,0,6,227,28,194,5,2
COLORADO,Washington,16,0,3,0,13,76,15,56,5,1
COLORADO,Yuma,2,2,0,0,0,23,1,20,2,0
DELAWARE,New Castle County Police Department,1076,14,66,284,712,6304,2213,3690,401,3
FLORIDA,Alachua,583,4,56,69,454,2403,740,1576,87,13
FLORIDA,Baker,63,0,4,9,50,293,51,228,14,0
FLORIDA,Bay,336,3,41,52,240,2694,702,1871,121,6
FLORIDA,Brevard,876,13,67,101,695,5233,1254,3788,191,12
FLORIDA,Broward,335,2,23,76,234,1113,289,770,54,7
FLORIDA,Charlotte,387,1,24,33,329,3229,861,2252,116,6
FLORIDA,Citrus,451,5,26,57,363,2837,737,1971,129,16
FLORIDA,Clay,684,5,33,71,575,3806,732,2959,115,20
FLORIDA,Collier,785,6,39,146,594,4776,1224,3322,230,15
FLORIDA,Escambia,1960,15,132,412,1401,11285,3156,7579,550,42
FLORIDA,Flagler,204,0,5,34,165,1680,362,1255,63,5
FLORIDA,Gadsden,101,3,7,11,80,522,224,270,28,3
FLORIDA,Gilchrist,28,0,0,0,28,208,79,116,13,0
FLORIDA,Gulf,51,1,3,3,44,226,110,109,7,0
FLORIDA,Hernando,437,2,40,49,346,4168,1184,2830,154,6
FLORIDA,Highlands,203,3,19,40,141,1908,689,1123,96,7
FLORIDA,Hillsborough,2152,28,116,495,1513,17903,4143,12707,1053,21
FLORIDA,Indian River,319,1,15,38,265,2461,552,1838,71,1
FLORIDA,Jefferson,70,0,3,4,63,140,76,58,6,2
FLORIDA,Lake,452,3,29,38,382,3096,991,1908,197,12
FLORIDA,Lee,1241,17,66,340,818,8854,2771,5482,601,31
FLORIDA,Leon,240,5,13,31,191,1577,641,837,99,15
FLORIDA,Manatee,1512,18,109,271,1114,8125,2010,5812,303,7
FLORIDA,Marion,1215,14,122,62,1017,3986,1293,2527,166,9
FLORIDA,Martin,339,4,31,78,226,2557,623,1825,109,10
FLORIDA,Miami-Dade,6046,81,267,1686,4012,41270,7851,29989,3430,53
FLORIDA,Nassau,80,1,0,13,66,1077,338,678,61,12
FLORIDA,Okaloosa,643,0,52,60,531,3062,577,2359,126,0
FLORIDA,Orange,4918,49,305,1208,3356,27195,8728,16095,2372,0
FLORIDA,Osceola,752,5,33,65,649,5031,1740,3089,202,0
FLORIDA,Palm Beach,2158,19,164,524,1451,14626,3767,9722,1137,67
FLORIDA,Pasco,1256,11,97,238,910,10945,3015,7334,596,85
FLORIDA,Pinellas,926,12,94,143,677,6040,1535,4239,266,35
FLORIDA,Polk,1140,19,59,154,908,8754,3186,5098,470,74
FLORIDA,Santa Rosa,215,0,24,23,168,1772,491,1193,88,6
FLORIDA,Sarasota,638,11,22,132,473,6510,1647,4627,236,4
FLORIDA,Seminole,583,5,37,86,455,3255,900,2183,172,5
FLORIDA,St. Johns,485,7,7,43,428,3539,766,2637,136,3
FLORIDA,St. Lucie,261,0,26,31,204,1583,480,1016,87,4
FLORIDA,Sumter,117,0,13,12,92,788,269,483,36,0
FLORIDA,Volusia,780,8,52,111,609,5210,1687,3199,324,17
FLORIDA,Wakulla,91,0,13,4,74,683,149,513,21,7
FLORIDA,Walton,163,0,11,7,145,1140,305,773,62,5
FLORIDA,Bradford,86,0,11,2,73,330,163,154,13,2
FLORIDA,Calhoun,15,0,1,0,14,68,24,39,5,0
FLORIDA,Columbia,261,0,14,20,227,1178,559,583,36,0
FLORIDA,DeSoto,84,0,2,14,68,635,234,381,20,2
FLORIDA,Dixie,51,0,5,5,41,397,203,167,27,4
FLORIDA,Franklin,87,1,15,1,70,182,62,110,10,1
FLORIDA,Glades,39,0,3,1,35,192,72,111,9,0
FLORIDA,Hamilton,38,0,0,2,36,245,107,128,10,0
FLORIDA,Hardee,54,1,8,9,36,505,148,326,31,0
FLORIDA,Hendry,201,0,15,24,162,988,489,452,47,7
FLORIDA,Holmes,42,1,4,3,34,208,74,120,14,1
FLORIDA,Jackson,137,0,13,12,112,590,162,406,22,0
FLORIDA,Lafayette,27,1,1,1,24,67,28,38,1,1
FLORIDA,Levy,87,0,18,3,66,540,183,324,33,0
FLORIDA,Liberty,13,1,1,0,11,53,22,31,0,0
FLORIDA,Madison,115,1,5,6,103,290,99,177,14,2
FLORIDA,Monroe,183,2,12,15,154,1770,344,1378,48,3
FLORIDA,Okeechobee,184,0,18,23,143,1081,518,525,38,0
FLORIDA,Putnam,360,5,28,29,298,2205,823,1318,64,4
FLORIDA,Suwannee,94,1,2,5,86,448,171,258,19,1
FLORIDA,Taylor,54,1,3,1,49,122,54,62,6,1
FLORIDA,Union,39,1,1,7,30,153,64,80,9,2
FLORIDA,Washington,47,0,2,1,44,253,73,166,14,0
GEORGIA,Augusta-Richmond,879,28,85,542,224,11592,3146,7276,1170,51
GEORGIA,Barrow,269,0,9,9,251,866,231,572,63,6
GEORGIA,Bartow,329,0,13,24,292,2726,821,1703,202,0
GEORGIA,Bibb,207,3,13,40,151,2370,542,1649,179,10
GEORGIA,Brantley,37,1,9,5,22,326,215,111,0,0
GEORGIA,Brooks,21,0,11,1,9,228,84,119,25,0
GEORGIA,Bryan,41,0,2,4,35,284,56,217,11,0
GEORGIA,Butts,40,0,9,9,22,406,96,268,42,0
GEORGIA,Catoosa,84,1,6,14,63,1033,246,682,105,5
GEORGIA,Chatham,0,0,0,0,0,0,0,0,0,0
GEORGIA,Chattahoochee,0,0,0,0,0,23,19,3,1,1
GEORGIA,Cherokee,117,3,24,17,73,1854,604,1126,124,1
GEORGIA,Clarke,4,0,0,0,4,1,0,1,0,0
GEORGIA,Clayton,7,0,0,1,6,5,0,3,2,0
GEORGIA,Clayton County Police Department,1157,24,57,535,541,9580,3777,4478,1325,30
GEORGIA,Cobb,0,0,0,0,0,0,0,0,0,0
GEORGIA,Cobb County Police Department,974,11,86,397,480,10658,3055,6856,747,34
GEORGIA,Columbia,68,1,10,20,37,2297,396,1804,97,11
GEORGIA,Coweta,86,0,9,17,60,1419,339,1000,80,7
GEORGIA,Crawford,42,1,1,4,36,404,152,233,19,0
GEORGIA,Dawson,11,0,0,2,9,374,69,281,24,3
GEORGIA,DeKalb,0,0,0,0,0,0,0,0,0,0
GEORGIA,DeKalb County Police Department,3420,76,122,1787,1435,30285,9468,15995,4822,176
GEORGIA,Dougherty,2,0,2,0,0,122,9,112,1,0
GEORGIA,Dougherty County Police Department,40,0,3,9,28,443,171,235,37,0
GEORGIA,Douglas,174,1,15,34,124,1915,530,1265,120,2
GEORGIA,Echols,0,0,0,0,0,46,20,25,1,0
GEORGIA,Effingham,38,1,14,4,19,242,159,61,22,1
GEORGIA,Fayette,43,3,4,7,29,579,182,353,44,0
GEORGIA,Floyd,26,2,1,0,23,70,18,50,2,
GEORGIA,Fulton,4,0,0,0,4,4,1,3,0,1
GEORGIA,Fulton County Police Department,805,18,34,379,374,5855,1627,3458,770,9
GEORGIA,Glynn,0,0,0,0,0,0,0,0,0,0
GEORGIA,Glynn County Police Department,230,2,10,64,154,2680,652,1947,81,2
GEORGIA,Gwinnett County Police Department,1578,34,161,662,721,14179,4100,8984,1095,54
GEORGIA,Hall,187,4,20,37,126,2357,626,1506,225,21
GEORGIA,Haralson,123,1,1,1,120,466,237,171,58,1
GEORGIA,Harris,19,0,0,0,19,209,51,151,7,2
GEORGIA,Heard,21,0,1,0,20,127,38,76,13,0
GEORGIA,Henry,18,0,0,0,18,148,9,138,1,
GEORGIA,Henry County Police Department,286,5,26,94,161,4655,1378,2888,389,15
GEORGIA,Houston,59,2,6,9,42,996,233,730,33,0
GEORGIA,Jasper,38,0,4,0,34,195,75,110,10,0
GEORGIA,Jones,19,1,2,2,14,489,138,318,33,4
GEORGIA,Lamar,24,0,1,1,22,220,44,158,18,4
GEORGIA,Lanier,14,0,2,0,12,124,45,75,4,0
GEORGIA,Lee,92,1,1,5,85,630,150,453,27,2
GEORGIA,Liberty,62,1,3,4,54,367,107,241,19,0
GEORGIA,Long,21,1,10,2,8,275,147,110,18,0
GEORGIA,Lowndes,102,1,1,6,94,640,191,416,33,
GEORGIA,Madison,42,0,3,7,32,741,191,505,45,6
GEORGIA,McDuffie,13,1,1,1,10,283,107,161,15,0
GEORGIA,McIntosh,25,1,0,4,20,400,146,231,23,0
GEORGIA,Meriwether,28,0,1,0,27,356,119,211,26,1
GEORGIA,Monroe,25,0,2,1,22,392,113,244,35,4
GEORGIA,Morgan,16,0,2,1,13,196,55,122,19,3
GEORGIA,Murray,84,1,5,2,76,752,150,560,42,0
GEORGIA,Newton,279,4,13,33,229,1868,774,897,197,11
GEORGIA,Oconee,37,0,0,4,33,436,52,355,29,1
GEORGIA,Oglethorpe,60,1,12,4,43,444,112,320,12,1
GEORGIA,Paulding,188,1,17,23,147,2374,622,1513,239,9
GEORGIA,Peach,20,0,0,2,18,276,83,174,19,0
GEORGIA,Pickens,47,2,0,0,45,456,109,329,18,0
GEORGIA,Pike,5,0,3,0,2,84,40,43,1,0
GEORGIA,Pulaski,39,0,2,2,35,255,80,171,4,0
GEORGIA,Rockdale,246,1,13,29,203,2302,643,1474,185,1
GEORGIA,Spalding,146,1,17,29,99,1549,492,935,122,0
GEORGIA,Terrell,16,2,1,1,12,88,21,61,6,2
GEORGIA,Twiggs,13,0,0,4,9,166,59,101,6,1
GEORGIA,Walton,85,0,6,12,67,1071,301,674,96,2
GEORGIA,Whitfield,183,1,12,11,159,1736,548,1106,82,7
GEORGIA,Worth,5,1,0,2,2,162,57,92,13,1
GEORGIA,Appling,19,0,2,1,16,329,70,250,9,0
GEORGIA,Baldwin,177,2,11,5,159,628,151,451,26,0
GEORGIA,Banks,49,0,2,1,46,523,94,401,28,0
GEORGIA,Ben Hill,26,0,11,3,12,151,35,103,13,0
GEORGIA,Berrien,9,0,3,1,5,167,42,118,7,0
GEORGIA,Bleckley,9,0,2,1,6,131,50,76,5,0
GEORGIA,Bulloch,29,2,5,10,12,734,192,503,39,0
GEORGIA,Camden,50,0,0,6,44,387,87,289,11,1
GEORGIA,Charlton,15,0,2,0,13,106,28,73,5,2
GEORGIA,Chattooga,38,0,1,0,37,391,130,250,11,0
GEORGIA,Clay,2,0,0,0,2,2,2,0,0,0
GEORGIA,Clinch,5,0,0,2,3,67,20,47,0,1
GEORGIA,Coffee,65,3,4,11,47,840,221,588,31,7
GEORGIA,Cook,8,0,1,2,5,116,56,55,5,0
GEORGIA,Crisp,20,0,0,8,12,371,76,284,11,0
GEORGIA,Decatur,38,1,0,2,35,336,102,219,15,0
GEORGIA,Dodge,31,0,4,0,27,376,114,250,12,0
GEORGIA,Dooly,11,0,0,5,6,71,11,56,4,0
GEORGIA,Early,16,1,1,2,12,133,40,91,2,0
GEORGIA,Elbert,31,2,2,7,20,455,127,301,27,0
GEORGIA,Emanuel,3,0,0,0,3,366,90,242,34,0
GEORGIA,Evans,9,0,0,2,7,36,18,11,7,0
GEORGIA,Fannin,69,0,3,0,66,364,134,203,27,4
GEORGIA,Franklin,9,0,1,6,2,352,115,216,21,0
GEORGIA,Gilmer,54,0,5,0,49,407,117,279,11,0
GEORGIA,Gordon,149,4,8,5,132,732,208,479,45,0
GEORGIA,Grady,20,0,0,2,18,168,45,112,11,0
GEORGIA,Greene,19,1,0,0,18,205,39,164,2,0
GEORGIA,Habersham,33,0,3,0,30,495,203,267,25,0
GEORGIA,Hancock,0,0,0,0,0,72,18,48,6,0
GEORGIA,Hart,65,0,3,4,58,477,141,328,8,0
GEORGIA,Irwin,13,0,3,0,10,114,48,62,4,0
GEORGIA,Jackson,69,0,9,7,53,892,175,672,45,2
GEORGIA,Jeff Davis,76,1,0,3,72,257,65,183,9,2
GEORGIA,Jefferson,17,0,0,3,14,170,74,90,6,0
GEORGIA,Johnson,15,0,0,0,15,90,33,52,5,0
GEORGIA,Laurens,34,3,2,7,22,766,235,492,39,1
GEORGIA,Lumpkin,79,0,9,2,68,428,117,283,28,2
GEORGIA,Macon,0,0,0,0,0,85,33,43,9,0
